year,selling_price,km_driven,seller_type,transmission,owner,fuel_Diesel,fuel_Petrol
13,60000,70000,1,1,0,0,1
13,135000,50000,1,1,0,0,1
8,600000,100000,1,1,0,1,0
3,250000,46000,1,1,0,0,1
6,450000,141000,1,1,1,1,0
13,140000,125000,1,1,0,0,1
4,550000,25000,1,1,0,0,1
6,240000,60000,1,1,1,0,1
5,850000,25000,1,1,0,0,1
3,365000,78000,1,1,0,0,0
5,260000,35000,1,1,0,0,1
6,250000,100000,1,1,0,0,1
2,1650000,25000,0,0,0,0,1
13,60000,70000,1,1,0,0,1
13,135000,50000,1,1,0,0,1
8,600000,100000,1,1,0,1,0
3,250000,46000,1,1,0,0,1
6,450000,141000,1,1,1,1,0
13,140000,125000,1,1,0,0,1
4,550000,25000,1,1,0,0,1
6,240000,60000,1,1,1,0,1
5,850000,25000,1,1,0,0,1
3,365000,78000,1,1,0,0,0
5,260000,35000,1,1,0,0,1
6,250000,100000,1,1,0,0,1
2,1650000,25000,0,0,0,0,1
5,585000,24000,0,1,0,0,1
1,1195000,5000,0,1,0,1,0
7,390000,33000,1,1,1,1,0
6,1964999,28000,0,0,0,1,0
7,1425000,59000,0,0,0,1,0
2,975000,4500,0,0,0,1,0
9,1190000,175900,0,0,0,1,0
2,930000,14500,0,1,0,0,1
2,525000,15000,1,1,0,0,1
7,1735000,50000,0,0,0,1,0
8,1375000,33800,0,0,1,1,0
9,450000,130400,0,0,1,1,0
4,900000,50000,1,0,0,0,1
5,1300000,80000,1,1,0,1,0
1,1400000,10000,1,1,0,0,1
10,850000,119000,0,0,0,0,1
6,229999,60000,1,1,3,0,1
7,1550000,75800,0,0,1,1,0
11,1250000,78000,0,0,3,1,0
8,625000,40000,1,1,0,1,0
6,1050000,50000,1,1,0,1,0
6,560000,74000,1,1,1,1,0
6,290000,64000,1,1,1,0,1
8,275000,60000,1,1,1,0,1
11,411000,120000,1,1,1,1,0
11,150000,79000,1,1,3,0,1
1,500000,15000,1,1,0,0,1
14,100000,80000,1,1,0,0,1
3,725000,18500,0,1,0,1,0
2,401000,10200,0,1,0,0,1
2,750000,29000,0,1,0,1,0
2,310000,28000,0,1,0,0,1
4,665000,46000,0,1,0,1,0
6,465000,70000,0,1,0,1,0
8,160000,60000,1,1,1,0,1
24,250000,35000,1,1,1,1,0
6,675000,90000,0,1,0,1,0
7,300000,80000,0,1,0,0,1
15,70000,80000,1,1,0,1,0
